学院名称,学院网址
船舶海洋与建筑工程学院,http://naoce.sjtu.edu.cn/
机械与动力工程学院,http://me.sjtu.edu.cn/
电子信息与电气工程学院,http://www.seiee.sjtu.edu.cn/
材料科学与工程学院,http://smse.sjtu.edu.cn/
环境科学与工程学院,http://sese.sjtu.edu.cn/
生物医学工程学院,http://bme.sjtu.edu.cn/
航空航天学院,http://www.aero.sjtu.edu.cn/
数学科学学院,http://math.sjtu.edu.cn/
物理与天文学院,http://www.physics.sjtu.edu.cn/
化学化工学院,http://scce.sjtu.edu.cn/
致远学院,http://zhiyuan.sjtu.edu.cn/
海洋学院,http://soo.sjtu.edu.cn/
安泰经济与管理学院,http://www.acem.sjtu.edu.cn/
凯原法学院,http://law.sjtu.edu.cn/
外国语学院,http://sfl.sjtu.edu.cn/
人文学院,http://shss.sjtu.edu.cn/Web/Home
马克思主义学院,http://ma.sjtu.edu.cn/
国际与公共事务学院,http://www.sipa.sjtu.edu.cn/
媒体与传播学院,http://smd.sjtu.edu.cn
设计学院,https://designschool.sjtu.edu.cn
体育系,http://tiyuxi.sjtu.edu.cn/
上海高级金融学院,http://www.saif.sjtu.edu.cn/
上海交大密西根学院,http://umji.sjtu.edu.cn/
上海交大-巴黎高科卓越工程师学院,http://speit.sjtu.edu.cn/
上海交大-南加州大学文化创意产业学院,http://icci.sjtu.edu.cn/
中欧国际工商学院,http://cn.ceibs.edu/
中英国际低碳学院,http://lcc.sjtu.edu.cn/
生命科学技术学院,http://life.sjtu.edu.cn/
农业与生物学院,http://www.agri.sjtu.edu.cn/
医学院,http://www.shsmu.edu.cn/
药学院,http://pharm.sjtu.edu.cn/
中国金融研究院,http://www.cafr.cn/
行业研究院,http://www.iir.sjtu.edu.cn/index.html
空天技术研究院,
新农村发展研究院,http://www.inrd.sjtu.edu.cn/
Med-X 研究院,http://med-x.sjtu.edu.cn/
Bio-X 研究院,http://www.bio-x.cn
创新设计研究中心,http://design.sjtu.edu.cn/
出版传媒研究院,
中国城市治理研究院,http://ciug.sjtu.edu.cn/Web/Home
董浩云航运与物流研究院,http://www.sugli.sjtu.edu.cn/sugli2010/index.html
航空发动机研究院,
燃气轮机研究院,
汽车工程研究院,http://www.auto.sjtu.edu.cn/index.html
能源研究院,http://energy.sjtu.edu.cn/
海洋研究院,http://ioo.sjtu.edu.cn/
约翰·霍普克罗夫特计算机科学中心,http://jhc.sjtu.edu.cn/
人工智能研究院 ,http://ai.sjtu.edu.cn/
医疗机器人研究院,http://imr.sjtu.edu.cn
中国法与社会研究院,http://www.socio-legal.sjtu.edu.cn/index.aspx
高等教育研究院,http://gse.sjtu.edu.cn/
系统生物医学研究院,http://scsb.sjtu.edu.cn/xtswyx/home.do?method=getHomeList
人文艺术研究院,http://iah.sjtu.edu.cn/cn/home/index.asp
先进产业技术研究院,http://aitri.sjtu.edu.cn/
科学史与科学文化研究院,http://shcs.sjtu.edu.cn/
自然科学研究院,http://ins.sjtu.edu.cn/
中国医院发展研究院,http://www.shsmu.edu.cn/chdi/
转化医学研究院,http://transmed.sjtu.edu.cn
慕课研究院,http://mooc.sjtu.edu.cn/
李政道研究所,http://tdli.sjtu.edu.cn/
中国质量发展研究院,http://ciq.sjtu.edu.cn/
个性化医学研究院,http://ipmsjtu.sjtu.edu.cn/
